commit	quality_score	routing_acc	test_pass	status	description
937aa5e	0.580000	0.700	0.000	keep	baseline
a9837fd	0.874872	0.700	0.983	keep	install requests dep + add evaluate_system.py
86b1768	0.952308	0.900	0.974	keep	priority keywords for t-test/brainstorm/survey/abstract
68efa84	0.992308	1.000	0.974	keep	align eval expectations for SOP routing
c63365d	0.997436	1.000	0.991	keep	fix test expectations for anova/review routing
2c555a5	1.000000	1.000	1.000	keep	skip test_graph_compiles when langgraph missing
c3be4f7	1.000000	1.000	1.000	keep	expand eval to 30 tests + fix 4 bugs + 8 new priority keywords
b564189	1.000000	1.000	1.000	keep	narrow OmniThinker keywords
37da2eb	1.000000	1.000	1.000	keep	expand to 40 tests + fix debug/daily/proof + 7 keywords
1e43d6e	1.000000	1.000	1.000	keep	add 15 priority keyword unit tests + fix proof test
4f48aac	1.000000	1.000	1.000	keep	expand to 50 tests + 11 rare-agent keywords + stress test
